---------------------------------Starting---------------------------------
{'model': 'DeepLab', 'dataset': 'nthu_husky', 'training': {'batch_size': 2, 'num_workers': 4, 'optimizer': 'SGD', 'momentum': 0.9, 'num_iterations': 250000, 'learning_rate': 0.00025, 'lr_schedule': 'Poly', 'lr_schedule_power': 0.9, 'weight_decay': 0.0005, 'use_sync_batchnorm': True, 'data': {'split_id_list': 0, 'labeled_samples': 0, 'input_size': '512,512', 'scale': False, 'crop': True}, 'unlabeled': {'train_unlabeled': True, 'consistency_weight': 1, 'consistency_loss': 'CE', 'pixel_weight': 'threshold_uniform', 'mix_mask': 'class', 'flip': False, 'color_jitter': True, 'blur': True}}, 'seed': 1, 'pretrained': 'coco', 'ignore_label': 255, 'utils': {'save_checkpoint_every': 1000, 'checkpoint_dir': './saved/DeepLabv2-nthu', 'val_per_iter': 5000, 'tensorboard': True, 'log_per_iter': 100, 'save_best_model': True}}
Found 1470 train images
dataset size:  1470
Training on number of samples: 0
gta size: 12483
iter =    182/250000, loss_l = 0.538, loss_u = 0.249, loss_my_cons = 0.864
iter =    183/250000, loss_l = 1.075, loss_u = 0.993, loss_my_cons = 1.239
iter =    184/250000, loss_l = 0.323, loss_u = 0.415, loss_my_cons = 1.046
iter =    185/250000, loss_l = 0.337, loss_u = 0.298, loss_my_cons = 0.470
iter =    186/250000, loss_l = 0.635, loss_u = 0.480, loss_my_cons = 0.607
iter =    187/250000, loss_l = 0.342, loss_u = 0.355, loss_my_cons = 0.380
iter =    188/250000, loss_l = 0.614, loss_u = 0.471, loss_my_cons = 0.497
iter =    189/250000, loss_l = 0.596, loss_u = 0.489, loss_my_cons = 0.677
iter =    190/250000, loss_l = 0.279, loss_u = 0.340, loss_my_cons = 0.390
iter =    191/250000, loss_l = 0.356, loss_u = 0.295, loss_my_cons = 0.173
iter =    192/250000, loss_l = 0.324, loss_u = 0.243, loss_my_cons = 0.568
iter =    193/250000, loss_l = 0.595, loss_u = 0.586, loss_my_cons = 0.429
iter =    194/250000, loss_l = 0.189, loss_u = 0.345, loss_my_cons = 0.920
iter =    195/250000, loss_l = 0.895, loss_u = 0.896, loss_my_cons = 0.359
iter =    196/250000, loss_l = 0.434, loss_u = 0.410, loss_my_cons = 0.360
iter =    197/250000, loss_l = 1.170, loss_u = 0.672, loss_my_cons = 0.536
iter =    198/250000, loss_l = 0.543, loss_u = 0.726, loss_my_cons = 0.612
iter =    199/250000, loss_l = 1.688, loss_u = 1.519, loss_my_cons = 0.510
iter =    200/250000, loss_l = 0.919, loss_u = 0.418, loss_my_cons = 0.575
iter =    201/250000, loss_l = 0.924, loss_u = 0.342, loss_my_cons = 1.690
iter =    202/250000, loss_l = 0.678, loss_u = 0.557, loss_my_cons = 2.049
iter =    203/250000, loss_l = 0.578, loss_u = 0.414, loss_my_cons = 0.999
iter =    204/250000, loss_l = 0.457, loss_u = 0.384, loss_my_cons = 0.502
iter =    205/250000, loss_l = 1.104, loss_u = 0.702, loss_my_cons = 0.855
iter =    206/250000, loss_l = 0.747, loss_u = 0.553, loss_my_cons = 0.610
iter =    207/250000, loss_l = 0.897, loss_u = 0.753, loss_my_cons = 0.589
iter =    208/250000, loss_l = 0.702, loss_u = 0.619, loss_my_cons = 0.751
iter =    209/250000, loss_l = 0.371, loss_u = 0.268, loss_my_cons = 0.835
iter =    210/250000, loss_l = 0.719, loss_u = 0.401, loss_my_cons = 0.566
iter =    211/250000, loss_l = 0.562, loss_u = 0.506, loss_my_cons = 0.767
iter =    212/250000, loss_l = 0.518, loss_u = 0.420, loss_my_cons = 0.656
iter =    213/250000, loss_l = 0.518, loss_u = 0.378, loss_my_cons = 0.672
iter =    214/250000, loss_l = 0.494, loss_u = 0.453, loss_my_cons = 1.229
iter =    215/250000, loss_l = 0.385, loss_u = 0.300, loss_my_cons = 0.277
iter =    216/250000, loss_l = 0.308, loss_u = 0.170, loss_my_cons = 0.407
iter =    217/250000, loss_l = 0.485, loss_u = 0.419, loss_my_cons = 1.194
iter =    218/250000, loss_l = 0.812, loss_u = 0.359, loss_my_cons = 1.103
iter =    219/250000, loss_l = 0.362, loss_u = 0.276, loss_my_cons = 0.775
iter =    220/250000, loss_l = 0.226, loss_u = 0.227, loss_my_cons = 0.878
iter =    221/250000, loss_l = 0.510, loss_u = 0.267, loss_my_cons = 1.420
iter =    222/250000, loss_l = 0.686, loss_u = 0.970, loss_my_cons = 0.526
iter =    223/250000, loss_l = 0.399, loss_u = 0.396, loss_my_cons = 0.592
iter =    224/250000, loss_l = 0.357, loss_u = 0.329, loss_my_cons = 0.739
iter =    225/250000, loss_l = 0.434, loss_u = 0.167, loss_my_cons = 0.343
iter =    226/250000, loss_l = 0.348, loss_u = 0.246, loss_my_cons = 0.783
iter =    227/250000, loss_l = 0.445, loss_u = 0.300, loss_my_cons = 0.960
iter =    228/250000, loss_l = 0.485, loss_u = 0.379, loss_my_cons = 0.586
iter =    229/250000, loss_l = 0.428, loss_u = 0.272, loss_my_cons = 0.695
iter =    230/250000, loss_l = 0.558, loss_u = 0.405, loss_my_cons = 0.920
iter =    231/250000, loss_l = 0.469, loss_u = 0.295, loss_my_cons = 0.525
iter =    232/250000, loss_l = 0.877, loss_u = 0.445, loss_my_cons = 0.537
iter =    233/250000, loss_l = 0.359, loss_u = 0.354, loss_my_cons = 0.657
iter =    234/250000, loss_l = 0.462, loss_u = 0.347, loss_my_cons = 0.796
iter =    235/250000, loss_l = 0.925, loss_u = 0.689, loss_my_cons = 0.521
iter =    236/250000, loss_l = 0.426, loss_u = 0.319, loss_my_cons = 0.527
iter =    237/250000, loss_l = 0.493, loss_u = 0.289, loss_my_cons = 0.550
iter =    238/250000, loss_l = 0.321, loss_u = 0.269, loss_my_cons = 0.357
iter =    239/250000, loss_l = 2.063, loss_u = 0.188, loss_my_cons = 1.389
iter =    240/250000, loss_l = 0.449, loss_u = 0.518, loss_my_cons = 2.431
iter =    241/250000, loss_l = 0.488, loss_u = 0.440, loss_my_cons = 0.379
iter =    242/250000, loss_l = 0.345, loss_u = 0.270, loss_my_cons = 0.373
iter =    243/250000, loss_l = 0.815, loss_u = 0.619, loss_my_cons = 0.717
iter =    244/250000, loss_l = 0.321, loss_u = 0.180, loss_my_cons = 0.606
iter =    245/250000, loss_l = 0.607, loss_u = 0.376, loss_my_cons = 0.581
iter =    246/250000, loss_l = 0.347, loss_u = 0.298, loss_my_cons = 0.844
iter =    247/250000, loss_l = 0.473, loss_u = 0.257, loss_my_cons = 0.782
iter =    248/250000, loss_l = 0.500, loss_u = 0.447, loss_my_cons = 0.420
iter =    249/250000, loss_l = 0.515, loss_u = 0.478, loss_my_cons = 0.494
iter =    250/250000, loss_l = 0.528, loss_u = 0.276, loss_my_cons = 0.548
iter =    251/250000, loss_l = 0.327, loss_u = 0.301, loss_my_cons = 1.472
iter =    252/250000, loss_l = 0.245, loss_u = 0.253, loss_my_cons = 0.966
iter =    253/250000, loss_l = 0.315, loss_u = 0.274, loss_my_cons = 0.626
